S.NO,Localities,Addresses,PointofContact,ChargingSlots
194,Baymont Inn & Suites Baytown,"7212 E Point BlvdBaytown, Texas 77521","Phone (281) 839-1400

                                                   ","Charging
2 Tesla Connectors"
195,Baymont Inn & Suites Pierre,"713  W Sioux AvePierre, South Dakota 57501","Phone (605) 224-4140

                                                   ","Charging
3 Tesla Connectors"
196,Baymont Inn & Suites Tucson Airport,"6955 S Tucson BlvdTucson, AZ 85756","Phone (520) 314-9249

                                                   ","Charging
7 Tesla Connectors"
197,Bayview Plaza Waterfront Resort/Hotel- St Pete Beach,"4321 Gulf BlvdSt Pete Beach, Florida 33706","Phone (727) 367-2791

                                                   ","Charging
1 Tesla Connector"
198,Beach House Restaurant,"200  Gulf Dr NBradenton Beach, FL 34217","Phone (941) 779-2222

                                                   ","Charging
1 Tesla Connector"
199,"Beach Spa Bed & Breakfast,a Select Registry Property","2420  Arctic AveVirginia Beach, Virginia 23451","Phone (757) 578-1008

                                                   ","Charging
2 Tesla Connectors"
200,Beachcomber Motel & Spa on the Beach,"1111 N Main StFort Bragg, CA 95437","Phone (707) 964-2402

                                                   ","Charging
1 Tesla Connector"
201,Bear Valley Lodge,"3 Bear Valley RdBear Valley, CA 95223","Phone (209) 753-2327

                                                   ","Charging
2 Tesla Connectors"
202,Bearskin Lodge,"Grand Marais, MN 55604","Phone (218) 338-2292

                                                   ","Charging
1 Tesla Connector"
203,Beau Rivage Resort & Casino - Garage 2nd Floor,"875 Beach BlvdBiloxi, MS 39530","Phone (228) 386-7111

                                                   ","Charging
2 Tesla Connectors"
204,Beau's Grillery,"4108 Maple RdBloomfield Hills, MI 48301","Phone (248) 626-2630

                                                   ","Charging
2 Tesla Connectors"
205,Beaver Brook on the River,"1700 CO-66Estes Park, Colorado 80517","Phone (800) 344-3256

                                                   ","Charging
2 Tesla Connectors"
206,Beaver Creek Landing,"300 Prater RdAvon, Colorado 81620","Phone (970) 790-3120

                                                   ","Charging
1 Tesla Connector"
207,Beaver Creek Lodge,"26 Avondale LnBeaver Creek, CO 81620","Phone (970) 845-9800

                                                   ","Charging
2 Tesla Connectors"
208,Bedford Village Inn,"2 Olde Bedford WayBedford, NH 03110","Phone (603) 472-2001

                                                   ","Charging
1 Tesla Connector"
209,Bedford Welcome Center,"816 Burks Hill RdBedford, Virginia 24523","Phone (540) 587-6001

                                                   ","Charging
1 Tesla Connector"
210,Beechwood Inn - Georgia's Premier wine Country Inn,"220 Beechwood DrClayton, GA 30525","Phone (706) 782-5485

                                                   ","Charging
1 Tesla Connector"
211,Beef House Restaurant,"16501 N State Rd 63Covington, Indiana 47932","Phone (765) 793-4770

                                                   ","Charging
2 Tesla Connectors"
212,Beiderbecke Inn,"532 W 7th StDavenport, IA 52803","Phone (563) 323-0047

                                                   ","Charging
1 Tesla Connector"
213,Bella Roma Bed and Breakfast,"1211 Roma Ave NWAlbuquerque, NM 87102","Phone (505) 400-4543

                                                   ","Charging
1 Tesla Connector"
214,Bella Vista Bed & Breakfast Inc.,"581 Cold Springs RdPlacerville, CA 95667","Phone (530) 622-3456

                                                   ","Charging
1 Tesla Connector"
215,Bella Vista Vineyard,"41220 Calle ContentoTemecula, California 92592","Phone (951) 676-5250

                                                   ","Charging
3 Tesla Connectors"
216,Bellagio Las Vegas,"3600 S Las Vegas BlvdLas Vegas, NV 89109","Phone (702) 693-7111

                                                   ","Charging
1 Tesla Connector"
217,Belmond Charleston Place,"205 Meeting StCharleston, SC 29401","Phone (843) 722-4900

                                                   ","Charging
2 Tesla Connectors"
218,Belmond El Encanto,"800 Alvarado PlSanta Barbara, CA 93103","Phone (805) 845-5800

                                                   ","Charging
4 Tesla Connectors"
219,Benovia Winery,"Santa Rosa, CA 95401","Phone (707) 526-4441

                                                   ","Charging
1 Tesla Connector"
220,Benson's Appliance Center,"501 N McKenzie StFoley, AL 36535","Phone (251) 943-5096

                                                   ","Charging
1 Tesla Connector"
221,Bently Farmers Bank,"1597 Esmeralda AveMinden, NV 89423","Phone (775) 783-4600

                                                   ","Charging
2 Tesla Connectors"
222,"Bentwood Inn, a Select Registry Property","Wilson, WY 83014","Phone (307) 739-1411

                                                   ","Charging
1 Tesla Connector"
223,Berkeley House Bed and Breakfast,"303 Berkeley PlStaunton, Virginia 24401","Phone (540) 480-6706

                                                   ","Charging
1 Tesla Connector"
224,Bernardus Lodge,"415 W Carmel Valley RdCarmel Valley, CA 93924","Phone (831) 658-3400

                                                   ","Charging
2 Tesla Connectors"
225,"Berry Manor Inn, a Select Registry Property","81 Talbot AveRockland, ME 04841","Phone (207) 596-7696

                                                   ","Charging
1 Tesla Connector"
226,"Berry Springs Lodge, a Select Registry Property","2149 Seaton Springs RdSevierville, TN 37862","Phone (865) 908-7935

                                                   ","Charging
1 Tesla Connector"
227,"Best Western - Bay City, TX","515 W 7th StBay City, TX 77414","Phone (979) 323-9191

                                                   ","Charging
2 Tesla Connectors"
228,Best Western Adirondack Inn,"2625 Main StLake Placid, NY 12946","Phone (518) 523-2424

                                                   ","Charging
2 Tesla Connectors"
229,Best Western Ambassador Inn & Suites,"610 S Frontage Rd.Wisconsin Dells, WI 53965","Phone (608) 254-4477

                                                   ","Charging
1 Tesla Connector"
230,Best Western Antelope Inn,"203 Antelope BlvdRed Bluff, CA 96080","Phone (530) 527-8882

                                                   ","Charging
2 Tesla Connectors"
231,Best Western Ardmore,"2600 W Broadway StArdmore, Oklahoma 73401","Phone (580) 223-3200

                                                   ","Charging
2 Tesla Connectors"
232,Best Western Atascocita,"7730 FM 1960 Rd EHumble, Texas 77346","Phone (281) 852-5665

                                                   ","Charging
3 Tesla Connectors"
233,Best Western Bayou Inn,"9008 Westbank ExpresswayWestwego, LA 70094","Phone (504) 304-7980

                                                   ","Charging
2 Tesla Connectors"
234,Best Western Beachside Inn,"336 W Cabrillo BlvdSanta Barbara, California 93101","Phone (805) 965-6556

                                                   ","Charging
1 Tesla Connector"
235,Best Western Casino Inn,"2466 Toomey RdVinton, LA 70668","Phone (409) 589-5628

                                                   ","Charging
2 Tesla Connectors"
236,Best Western Center Pointe Inn,"3215 W 76 Country BlvdBranson, MO 65616","Phone (417) 334-1894

                                                   ","Charging
2 Tesla Connectors"
237,Best Western Coral Hills,"125 E St George BlvdSt George, UT 84770","Phone (435) 673-4844

                                                   ","Charging
2 Tesla Connectors"
238,Best Western Corvallis,"925 NW Garfield AveCorvallis, Oregon 97330","Phone (541) 758-8571

                                                   ","Charging
3 Tesla Connectors"
239,Best Western Danville Sycamore Inn,"803 Camino RamonDanville, CA 94526","Phone (925) 855-8888

                                                   ","Charging
2 Tesla Connectors"
240,Best Western Eagles Inn,"110 Toms DrMorehead, Kentucky 40351","Phone (606) 784-5796

                                                   ","Charging
2 Tesla Connectors"
241,Best Western Edgewater,"56 Bridge StSandpoint, Idaho 83864","Phone (208) 263-3194

                                                   ","Charging
2 Tesla Connectors"
242,Best Western Executive Inn,"4026 Jackpot RdGrove City, OH 43123","Phone (614) 875-7770

                                                   ","Charging
1 Tesla Connector"
243,Best Western Galleria Inn & Suites,"8635 US-64Memphis, Tennessee 38133","Phone (901) 372-0000

                                                   ","Charging
2 Tesla Connectors"
244,Best Western Galveston West Beach Hotel,"8710 Seawall BlvdGalveston, Texas 77554","Phone (409) 740-9100

                                                   ","Charging
1 Tesla Connector"
245,Best Western Garden Court Inn,"Fremont, CA 94538","Phone (510) 796-4300

                                                   ","Charging
2 Tesla Connectors"
246,Best Western Historical Inn,"2010 N Ponce De Leon BlvdSt. Augustine, Florida 32084","Phone (904) 829-9088

                                                   ","Charging
1 Tesla Connector"
247,Best Western Inn at the Meadows,"1215 N Hayden Meadows DrPortland, Oregon 97217","Phone (855) 286-9600

                                                   ","Charging
3 Tesla Connectors"
248,Best Western International Drive - Orlando,"8222 Jamaican CtOrlando, Florida 32819","Phone (407) 345-1172

                                                   ","Charging
1 Tesla Connector"
249,Best Western Johnson City Inn,"107 U.S. 281Johnson City, TX 78636","Phone (830) 868-4044

                                                   ","Charging
2 Tesla Connectors"
250,Best Western Kirkwood Inn,"1200 S Kirkwood RdSt. Louis, Missouri 63122","Phone (314) 821-3950

                                                   ","Charging
2 Tesla Connectors"
251,Best Western La Place Inn,"4289 Main StLaPlace, LA 70068","Phone (985) 651-4000

                                                   ","Charging
2 Tesla Connectors"
252,Best Western Leesburg Hotel & Conference Center,"726 E Market StLeesburg, Virginia 20176","Phone (703) 777-9400

                                                    Roadside Assistance 01 800 228 8145","Charging
3 Tesla Connectors"
