,S.No,State,Locality,Directions,Assistance,No.of.Slots,lat,long,accuracy
845,845,Tennessee,Nashville TN Tesla Supercharger, Nashville TN ,,NA,35.0978008,-89.8589587,establishment
846,846,Tennessee,Nashville-Brentwood, 1641 Westgate Circle Nashville TN 37027 , Roadside Assistance: (877) 798-3752,6,NA,NA,NA
847,847,Texas,Amarillo Supercharger, 8231 West Amarillo Blvd. Amarillo TX 79124, Roadside Assistance: (877) 798-3752,8,35.969135,-86.804301,car_dealer
848,848,Texas,Arlington Supercharger, 1200 Ballpark Way Arlington TX 76011-5110, Roadside Assistance: ,10,35.1890687,-101.9314765,establishment
849,849,Texas,Austin TX - Downtown Tesla Supercharger, Austin TX ,,NA,NA,NA,NA
850,850,Texas,Austin TX Supercharger, 6406 N. Interstate 35 Frontage Road Austin TX 78752-0000, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
851,851,Texas,Beaumont TX Tesla Supercharger, Beaumont TX ,,NA,30.080174,-94.1265562,locality
852,852,Texas,Boerne TX Tesla Supercharger, Boerne TX ,,NA,NA,NA,NA
853,853,Texas,Brenham TX Tesla Supercharger, Brenham TX ,,NA,29.6901102,-96.5375566,establishment
854,854,Texas,Cedar Park TX Tesla Supercharger, Cedar Park TX ,,NA,30.4358975,-97.7712661,car_dealer
855,855,Texas,Channelview Supercharger, 16311 East Fwy Channelview TX 777530, Roadside Assistance: (877) 798-3752,8,29.7845855,-95.1100707,establishment
856,856,Texas,Childress Supercharger, 1300 Ave F NW Childress Texas Childress,,8,NA,NA,NA
857,857,Texas,Cisco Supercharger, 16851 IH 20 Cisco TX 76437, Roadside Assistance: (877) 798-3752,8,32.3881861,-98.9792336,locality
858,858,Texas,College Station TX Tesla Supercharger, College Station TX ,,NA,30.7161279,-95.5659307,establishment
859,859,Texas,Columbus TX Supercharger, 2535 Texas 71 Columbus TX 78934, Roadside Assistance: (877) 798-3752,6,29.6901102,-96.5375566,establishment
860,860,Texas,Corsicana Supercharger, 2035 Interstate 45 Frontage Rd Corsicana TX 75109, Roadside Assistance: (877) 798-3752,10,32.0686089,-96.4482893,establishment
861,861,Texas,Dallas TX (Downtown) Tesla Supercharger, Dallas TX ,,NA,NA,NA,NA
862,862,Texas,Dallas TX - Mesquite Tesla Supercharger, Dallas TX ,,NA,32.7667955,-96.5991593,locality
863,863,Texas,Dallas TX - North Central Expressway Supercharger, 9740 North Central Expressway Dallas 75231-4302, Roadside Assistance: (877) 798-3752,11,32.881098,-96.7695398,establishment
864,864,Texas,Denton Supercharger, 2700 West University Drive Denton TX 76201, Roadside Assistance: (877) 798-3752,6,33.2313639,-97.1663953,establishment
865,865,Texas,Dilley TX Tesla Supercharger, Dilley TX ,,NA,NA,NA,NA
866,866,Texas,El Paso Supercharger, 6401 South Desert Boulevard El Paso TX 79932-8515, Roadside Assistance: (877) 798-3752,8,31.8839207,-106.5835844,establishment
867,867,Texas,Falfurrias TX Tesla Supercharger, Falfurrias TX ,,NA,27.4937983,-97.8443828,establishment
868,868,Texas,Flatonia Supercharger, 1415 FM 609 Flatonia TX 78941, Roadside Assistance: (877) 798-3752,8,29.6978674,-97.1001838,establishment
869,869,Texas,Fort Stockton TX Tesla Supercharger, Fort Stockton TX ,,NA,NA,NA,NA
870,870,Texas,Fort Worth TX Tesla Supercharger, Fort Worth TX ,,NA,32.7104287,-97.3993433,car_dealer
871,871,Texas,Fredericksburg TX Tesla Supercharger, Fredericksburg TX ,,NA,NA,NA,NA
872,872,Texas,Houston TX Tesla Supercharger, Houston TX ,,NA,29.7845855,-95.1100707,establishment
873,873,Texas,Houston TX - Katy Tesla Supercharger, Houston TX ,,NA,NA,NA,NA
874,874,Texas,Houston TX - Uptown Tesla Supercharger, Houston TX ,,NA,29.7376427,-95.4640172,car_dealer
875,875,Texas,Houston-North, 14820 North Fwy Houston TX 77090 , Roadside Assistance: (877) 798-3752,6,29.9469118,-95.4068932,establishment
876,876,Texas,Huntsville TX Supercharger, 148 Interstate 45 Huntsville TX 77340, Roadside Assistance: (877) 798-3752,6,30.7161279,-95.5659307,establishment
877,877,Texas,Italy TX Supercharger, 1021 Dale Evans Drive Italy TX 76651, Roadside Assistance: (877) 798-3752,10,NA,NA,NA
878,878,Texas,Junction Supercharger, 2415 N Main Street Junction TX 76849-3104, Roadside Assistance: (877) 798-3752,8,39.0907153,-108.6042458,establishment
879,879,Texas,Kingsville Supercharger, 2400 South US Hwy 77 Kingsville TX 78363-2844, Roadside Assistance: (877) 798-3752,8,27.5158689,-97.856109,locality
880,880,Texas,Laredo TX Supercharger, 110 Calle Del Norte Drive Laredo TX 78041-9143, Roadside Assistance: (877) 798-3752,8,27.5552649,-99.494795,establishment
881,881,Texas,Lindale Supercharger, 17044 I-20 Lindale TX 75771, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
882,882,Texas,Lubbock TX Tesla Supercharger, Lubbock TX ,,NA,33.5778631,-101.8551665,locality
883,883,Texas,McAllen Supercharger, 800 Convention Center Blvd McAllen 78501-0018, Roadside Assistance: (877) 798-3752,8,26.19847,-98.2598038,establishment
884,884,Texas,Midland Supercharger, Love's Travel Stop 3001 Antelope Trail Midland TX 79706-3525, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
885,885,Texas,Nacogdoches Supercharger, 2615 NW Stallings Dr Nacogdoches TX 75964-2629, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
886,886,Texas,Ozona Supercharger, 1307 Ave. A Ozona TX 76943, Roadside Assistance: (877) 798-3752,6,30.7066842,-101.1961499,establishment
887,887,Texas,Pecos TX Tesla Supercharger, Pecos TX ,,NA,NA,NA,NA
888,888,Texas,Plano TX Supercharger, 7161 Bishop Road Plano TX 75024, Roadside Assistance: (877) 798-3752,12,NA,NA,NA
889,889,Texas,San Angelo TX Tesla Supercharger, San Angelo TX ,,NA,NA,NA,NA
890,890,Texas,San Antonio TX Tesla Supercharger, San Antonio TX ,,NA,29.6552916,-98.6263264,car_dealer
891,891,Texas,San Marcos TX Supercharger, 3939 Interstate 35 San Marcos TX 78666, Roadside Assistance: (877) 798-3752,5,NA,NA,NA
892,892,Texas,Selma TX Tesla Supercharger, Selma TX ,,NA,NA,NA,NA
893,893,Texas,Shamrock Supercharger, 107 East 12th Street Shamrock TX 79079, Roadside Assistance: (877) 798-3752,6,35.2142167,-100.2490075,locality
894,894,Texas,Southlake TX Supercharger, 261 North Carroll Avenue Southlake TX 76092, Roadside Assistance: (877) 798-3752,10,32.9435115,-97.1338663,establishment
895,895,Texas,Sugarland TX Tesla Supercharger, Sugarland TX ,,NA,29.7845855,-95.1100707,establishment
896,896,Texas,Sulphur Springs Supercharger, 300 W Tomlinson Street Sulphur Springs TX 75482, Roadside Assistance: (877) 798-3752,8,33.1384479,-95.6010668,locality
897,897,Texas,Sweetwater Supercharger, 300 SE Georgia Ave. Sweetwater TX 79556, Roadside Assistance: (877) 798-3752,8,32.4505905,-100.3925002,establishment
898,898,Texas,Texarkana Supercharger, 3101 Mall Drive Texarkana TX 75503-2434, Roadside Assistance: (877) 798-3752,8,33.4600206,-94.0773995,establishment
899,899,Texas,Three Rivers Supercharger, 2645 S. Hwy 37 Three Rivers TX 78071, Roadside Assistance: (877) 798-3752,8,28.521839,-98.1854092,establishment
900,900,Texas,Van Horn Supercharger, 1921 Frontage Rd Van Horn TX 79855, Roadside Assistance: (877) 798-3752,8,31.0344265,-104.8614046,establishment
901,901,Texas,Victoria Supercharger, 3107 S Laurent St. Victoria TX 77901, Roadside Assistance: (877) 798-3752,6,NA,NA,NA
902,902,Texas,Waco Supercharger, 701 Interstate 35 Bellmead TX 76705, Roadside Assistance: (877) 798-3752,10,31.582313,-97.1092096,establishment
903,903,Texas,Wichita Falls TX Tesla Supercharger, Wichita Falls TX ,,NA,33.9137085,-98.4933873,locality
904,904,Utah,Beaver UT Supercharger, Littlefield Interchange Beaver UT 84713, Roadside Assistance: (877) 798-3752,4,38.2769149,-112.6410518,locality
905,905,Utah,Blanding UT Supercharger, 12 N Grayson Parkway Blanding UT 84511, Roadside Assistance: (877) 798-3752,4,37.6255684,-109.4738655,establishment
906,906,Utah,Green River UT Supercharger, 1765 East Main Green River UT 84525, Roadside Assistance: (877) 798-3752,4,38.9935825,-110.1405143,establishment
907,907,Utah,Moab UT Supercharger, 16 South Main Street Moab UT 84532, Roadside Assistance: (877) 798-3752,4,38.5731262,-109.5523097,establishment
908,908,Utah,Nephi UT Supercharger, 2100 S Main Street Nephi UT 84648, Roadside Assistance: (877) 798-3752,6,39.678101,-111.8409149,establishment
909,909,Utah,Ogden UT Tesla Supercharger, Ogden UT ,,NA,40.7203578,-111.8887544,establishment
910,910,Utah,Park City UT Tesla Supercharger, Park City UT ,,NA,40.7203578,-111.8887544,establishment
911,911,Utah,Price Supercharger, 925 Westwood Blvd. Price UT 84501, Roadside Assistance: (877) 798-3752,8,37.0488871,-94.4753951,establishment
912,912,Utah,Provo UT Tesla Supercharger, Provo UT ,,NA,40.7203578,-111.8887544,establishment
913,913,Utah,Richfield UT Supercharger, 20 W 1400 N Richfield UT 84701, Roadside Assistance: (877) 798-3752,4,NA,NA,NA
914,914,Utah,Salt Lake City-S. State Street, 2312 South State Street South Salt Lake City UT 84115, Store: (801) 596-4620,13,40.7476717,-111.8881376,route
915,915,Utah,St. George Supercharger, 1091 N Bluff St St. George UT 84770, Roadside Assistance: (877) 798-3752,8,37.1264421,-113.6017668,establishment
916,916,Utah,Tooele Supercharger, 1568 East Saddleback Blvd. Tooele UT 84074, Roadside Assistance: (877) 798-3752,6,40.5307776,-112.29828,locality
917,917,Utah,Tremonton Supercharger, 2145 W Main Street Tremonton UT 84337, Roadside Assistance: (877) 798-3752,6,41.7099451,-112.1985774,establishment
918,918,Vermont,Berlin VT Supercharger, 213 Paine Turnpike N Berlin VT 05602, Roadside Assistance: (877) 798-3752,8,44.2123338,-72.5765297,establishment
919,919,Vermont,Brattleboro Supercharger, 499 Canal Street Brattleboro VT 5301, Roadside Assistance: (877) 798-3752,8,42.8384454,-72.5658342,establishment
920,920,Vermont,Lyndon VT Tesla Supercharger, Lyndon VT ,,NA,44.5453088,-72.0000723,locality
921,921,Vermont,Rutland VT Tesla Supercharger, Rutland VT ,,NA,44.2123338,-72.5765297,establishment
922,922,Vermont,South Burlington Supercharger, 222 Dorset Street South Burlington VT 05043, Roadside Assistance: (877) 798-3752,8,44.462829,-73.1793155,establishment
923,923,Virgina,Fredericksburg VA Supercharger, 10060 Jefferson Davis Highway Fredericksburg VA 22407, Roadside Assistance: (877) 798-3752,8,38.3031837,-77.4605399,locality
924,924,Virgina,Arlington VA Tesla Supercharger, Arlington VA ,,NA,NA,NA,NA
925,925,Virgina,Charlottesville VA Supercharger, 2100 Hydraulic Road Charlottesville Virgina 22901-0000, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
926,926,Virgina,Chester Supercharger, 11701 Jefferson Davis Highway Chester VA 23831, Roadside Assistance: (877) 798- 3752,8,37.3674726,-77.416648,establishment
927,927,Virgina,Fairfax VA Tesla Supercharger, Fairfax VA ,,NA,NA,NA,NA
928,928,Virgina,Gainesville VA Tesla Supercharger, Gainesville VA ,,NA,38.6408382,-77.2963031,establishment
929,929,Virgina,Glen Allen VA Supercharger, 9950 Brook Rd Glen Allen VA 23059, Roadside Assistance: (877) 798-3752,20,37.6697846,-77.4616425,establishment
930,930,Virgina,Leesburg VA Tesla Supercharger, Leesburg VA ,,NA,39.0440498,-95.7602249,establishment
931,931,Virgina,Lexington Supercharger, 880 N Lee Hwy Lexington VA 24450, Roadside Assistance: (877) 798-3752,6,38.0178185,-84.4210113,establishment
932,932,Virgina,Mt. Jackson VA Supercharger, 227 Conicville Rd Mt. Jackson VA 22842, Roadside Assistance: (877) 798-3752,8,38.7602417,-78.6311195,establishment
933,933,Virgina,Newport News VA Tesla Supercharger, Newport News VA ,,NA,36.8605204,-76.2073749,establishment
934,934,Virgina,Norfolk Supercharger, 5900 E Virginia Beach Blvd Norfolk VA 23502, Roadside Assistance: (877) 798-3752,6,36.8605204,-76.2073749,establishment
935,935,Virgina,Richmond VA Supercharger, 4441 S Laburnum Ave Richmond VA 23231-0000, Roadside Assistance: (877) 798-3752,20,37.5298704,-77.354013,establishment
936,936,Virgina,Roanoke VA Tesla Supercharger, Roanoke VA ,,NA,NA,NA,NA
937,937,Virgina,South Hill VA Supercharger, 1791 North Mecklenburg Avenue South Hill VA 23970, Roadside Assistance: (877) 798-3752,6,NA,NA,NA
938,938,Virgina,Springfield VA Tesla Supercharger, Springfield VA ,,NA,38.7743626,-77.1776042,establishment
939,939,Virgina,Stauntan VA Tesla Supercharger, Stauntan VA ,,NA,NA,NA,NA
940,940,Virgina,Strasburg Supercharger, 119 Hite Lane Strasburg VA 22657, Roadside Assistance: (877) 798-3752,6,NA,NA,NA
941,941,Virgina,Tysons VA Tesla Supercharger, Tysons VA ,,NA,38.9177669,-77.2206034,establishment
942,942,Virgina,Woodbridge Supercharger, 2700 Potomac Mills Circle Woodbridge VA 22192, Roadside Assistance: (877) 798-3752,10,NA,NA,NA
943,943,Virgina,Wytheville Supercharger, 165 Malin Drive Wytheville VA 24382, Roadside Assistance: (877) 798-3752,6,NA,NA,NA
944,944,Washington,Aberdeen Supercharger, 416 Wishkah Street Aberdeen WA 98520-4133, Roadside Assistance: (877) 798--3752,8,39.4980145,-76.2312527,establishment
945,945,Washington,Arlington WA Supercharger, 3438 Stoluckquamish Lane Arlington WA, Roadside Assistance: (877) 798-3752,16,NA,NA,NA
946,946,Washington,Bellevue WA Tesla Supercharger, Bellevue WA ,,NA,47.6158066,-122.2041882,car_dealer
947,947,Washington,Burlington WA Supercharger, 9384 Old Highway 99 North Burlington WA 98233, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
948,948,Washington,Centralia Supercharger, 1200 Lum Rd Centralia WA 98531, Roadside Assistance: (877) 798-3752,20,46.7297002,-122.9774621,establishment
949,949,Washington,Chelan WA Tesla Supercharger, Chelan WA ,,NA,NA,NA,NA
950,950,Washington,Ellensburg Supercharger, 1620 Canyon Rd Ellensburg WA 98926, Roadside Assistance: (877) 798-3752,5,NA,NA,NA
951,951,Washington,Ellensburg WA Tesla Supercharger, Ellensburg WA ,,NA,NA,NA,NA
952,952,Washington,Enumclaw WA Tesla Supercharger, Enumclaw WA ,,NA,47.2042681,-121.9915003,locality
953,953,Washington,Forks WA Tesla Supercharger, Forks WA ,,NA,NA,NA,NA
954,954,Washington,Issaquah WA Tesla Supercharger, Issaquah WA ,,NA,NA,NA,NA
955,955,Washington,Kennewick Supercharger, 2811 West 10th Ave Kennewick WA 99336, Roadside Assistance: (877) 798-3752,8,46.1980886,-119.1627964,establishment
956,956,Washington,Kirkland WA - Totem Lake Tesla Supercharger, Kirkland WA ,,NA,47.8627616,-121.9767201,establishment
957,957,Washington,Longview WA Tesla Supercharger, Longview WA ,,NA,45.7216634,-122.6635617,establishment
958,958,Washington,Lynnwood WA Supercharger, 2902 164th Street SW Lynnwood WA 98087 ,oadside Assistance: (877) 798-3752,10,47.8209301,-122.3151314,locality
959,959,Washington,Monroe WA Supercharger, 18805 US-2 Monroe WA, Roadside Assistance: (877) 798-3752,NA,47.8553772,-121.970958,locality
960,960,Washington,Okanogan WA Tesla Supercharger, Okanogan WA ,,NA,48.361262,-119.5833869,locality
961,961,Washington,Olympia WA Tesla Supercharger, Olympia WA ,,NA,46.976566,-123.8137672,establishment
962,962,Washington,Ritzville Supercharger, 105 W Galbreath Way Ritzville WA 99169, Roadside Assistance: (877) 798-3752,12,47.1273723,-118.3799751,locality
963,963,Washington,Ritzville WA Tesla Supercharger, Ritzville WA ,,NA,47.1162928,-118.3683189,establishment
964,964,Washington,Seattle WA Tesla Supercharger, Seattle WA ,,NA,47.6230361,-122.3386497,car_dealer
965,965,Washington,Seattle WA - Northgate Tesla Supercharger, Seattle WA ,,NA,47.6230361,-122.3386497,car_dealer
966,966,Washington,Seattle WA - University Village Tesla Supercharger, Seattle WA ,,NA,47.6631482,-122.2982465,establishment
967,967,Washington,Sequim Supercharger, 1441 E Washington Street Sequim WA 98382-3503, Roadside Assistance: (877) 798-3752,8,48.0795365,-123.1018438,locality
968,968,Washington,Snoqualmie WA Tesla Supercharger, Snoqualmie WA ,,NA,47.54226,-122.0424261,establishment
969,969,Washington,Spokane WA Tesla Supercharger, Spokane WA ,,NA,44.2123338,-72.5765297,establishment
970,970,Washington,Tacoma WA Tesla Supercharger, Tacoma WA ,,NA,46.7297002,-122.9774621,establishment
971,971,Washington,Vancouver WA Supercharger, 800 NE Tenney Road Vancouver WA 98685-2832, Roadside Assistance: (877) 798-3752,12,45.7216634,-122.6635617,establishment
972,972,Washington,Wenatchee WA Tesla Supercharger, Wenatchee WA ,,NA,NA,NA,NA
973,973,Washington,Yakima WA Tesla Supercharger, Yakima WA ,,NA,46.1980886,-119.1627964,establishment
974,974,West Virginia,Charleston WV Supercharger, 2 Kanawha Boulevard E Charleston WV 25301, Roadside Assistance: (877) 798-3752,8,38.3548619,-81.6430414,establishment
975,975,West Virginia,Huntington WV Supercharger, 432 18th Street West Huntington WV 25704-1509, Roadside Assistance: (877) 798-3752,8,38.4109686,-82.4871623,establishment
976,976,West Virginia,Morgantown Supercharger, 21 Asturias Lane Morgantown WV 26508-1324, Roadside Assistance: (877) 798-3752,8,39.629526,-79.9558968,locality
977,977,West Virginia,Mt. Hope WV Supercharger, 5481 Robert C. Byrd Drive Mt. Hope WV 25880, Roadside Assistance: (877) 798-3752,8,37.8953906,-81.1642682,locality
978,978,West Virginia,Parkersburg WV Tesla Supercharger, Parkersburg WV ,,NA,39.2667418,-81.5615135,locality
979,979,West Virginia,Weston WV Supercharger, 39 Berlin Road Weston WV 26452-8367, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
980,980,West Virginia,Martinsburg WV Supercharger, 1465 Edwin Miller Blvd Martinsburg WV 25401, Roadside Assistance: (877) 798-3752,8,39.4855275,-77.9570471,establishment
981,981,West Virginia,Triadelphia WV Supercharger, 35 Bob Wise Drive Triadelphia WV 26059, Roadside Assistance: (877) 798-3752,4,NA,NA,NA
982,982,Wisconsin,Eau Claire WI Supercharger, 4601 Keystone Crossing Eau Claire WI 54701, Roadside Assistance: (877) 798-3752,6,44.7708901,-91.4370932,establishment
983,983,Wisconsin,Howard WI Supercharger, 2015 Shawano Avenue Howard Wisconsin 54303-2606, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
984,984,Wisconsin,La Crosse Supercharger, 2845 Midwest Dr Onalaska WI 54650, Roadside Assistance: (877) 798-3752,6,43.8137751,-91.2519017,locality
985,985,Wisconsin,Lake Geneva WI Tesla Supercharger, Lake Geneva WI ,,NA,43.1266446,-89.3069064,establishment
986,986,Wisconsin,Madison WI - E. Washington Ave. Supercharger, 3801 E. Washington Ave Madison WI 53704, Roadside Assistance: (877) 798-3752,NA,NA,NA,NA
987,987,Wisconsin,Madison WI East Towne Mall Supercharger, 89 East Towne Mall Madison WI 53704, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
988,988,Wisconsin,Mauston WI Supercharger, 640 McEvoy St Mauston WI 53948, Roadside Assistance: (877) 798-3752,3,43.7954612,-90.0593456,establishment
989,989,Wisconsin,Milwaukee WI Tesla Supercharger, Milwaukee WI ,,6,NA,NA,NA
990,990,Wisconsin,Oak Creek WI Supercharger, 171 West Town Square Way Oak Creek WI 53154-6801, Roadside Assistance: (877) 798-3752,10,NA,NA,NA
991,991,Wisconsin,Oshkosh WI Supercharger, 2415 Westowne Avenue Oshkosh WI 54904-7776, Roadside Assistance: (877) 798-3752,6,NA,NA,NA
992,992,Wisconsin,Pleasant Prairie WI Supercharger, 11211 120th Ave Pleasant Prairie WI 53158, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
993,993,Wisconsin,Sheboygan Supercharger, 595 S Taylor Drive Sheboygan WI 53081, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
994,994,Wisconsin,Sturgeon Bay WI Tesla Supercharger, Sturgeon Bay WI ,,NA,45.0667637,-87.1239544,establishment
995,995,Wisconsin,Waukesha WI Tesla Supercharger, Waukesha WI ,,NA,NA,NA,NA
996,996,Wisconsin,Wausau WI - North Mountain Rd Supercharger, 2101 North Mountain Rd Wausau WI 54401-8117, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
997,997,Wyoming,Casper WY Tesla Supercharger, Casper WY ,,NA,NA,NA,NA
998,998,Wyoming,Cheyenne WY Supercharger, 1400 Dell Range Blvd. Cheyenne WY 82009, Roadside Assistance: (877) 798-3752,4,NA,NA,NA
999,999,Wyoming,Cody WY Tesla Supercharger, Cody WY ,,NA,41.1624513,-104.8049713,establishment
1000,1000,Wyoming,Evanston Supercharger, 101 Wasatch Rd Evanston WY 82930-3094, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
1001,1001,Wyoming,Gillette Supercharger, 211 Decker Court Gillette WY 82716, Roadside Assistance: (877) 798-3752,4,NA,NA,NA
1002,1002,Wyoming,Jackson Supercharger, 1155 US-89 Jackson WY 83001, Roadside Assistance: (877) 798-3752,8,34.009683,-117.69224,car_repair
1003,1003,Wyoming,Laramie WY Supercharger, 1673 Centennial Drive Laramie WY 82070-8417, Roadside Assistance: (877) 798-3752,8,41.3252096,-105.6180988,establishment
1004,1004,Wyoming,Lusk WY Supercharger, 730 S Main St Lusk WY 82225, Roadside Assistance: (877) 798-3752,4,NA,NA,NA
1005,1005,Wyoming,Rawlins Supercharger, 2370 E Cedar St. Rawlins WY 82301-6026, Roadside Assistance: (877) 798-3752,8,41.790943,-107.2102805,establishment
1006,1006,Wyoming,Rock Springs Supercharger, 2441 Foothill Blvd Rock Springs 82901-5659, Roadside Assistance: (877) 798-3752,8,41.5808321,-109.262172,establishment
1007,1007,Wyoming,Sheridan Supercharger, 612 North Main Street Sheridan WY 82801, Roadside Assistance: (877) 798-3752,4,44.7971939,-106.9561791,locality
1008,1008,Wyoming,Wheatland WY Supercharger, 1556 Sherard Road Wheatland WY 82201-8927, Roadside Assistance: (877) 798-3752,8,42.0544141,-104.9527501,locality
